1,AFA,AFA,7/28/2001 8:43,602286
2,ALL,ALL,11/1/2011 5:20,test
3,DZD,DZD,7/7/2008 8:32,225816
4,USD,USD,12/4/2004 2:20,629046
5,ESP,ESP,11/21/2002 5:38,171029
6,AOA,AOA,6/6/2005 19:51,843141
7,XCD,XCD,5/11/2010 22:00,660271
8,XCD,XCD,2/2/2010 5:58,442463
9,ARS,ARS,1/8/2019 23:14,92549
10,AMD,AMD,4/27/2003 8:58,744399
11,AWG,AWG,8/16/2019 21:26,972488
12,AUD,AUD,5/8/2008 8:56,567021
13,ATS,ATS,9/19/2014 15:49,859631
14,AZM,AZM,3/3/2017 14:14,486885
15,BSD,BSD,12/4/2004 5:14,256925
16,BHD,BHD,7/19/2012 4:22,766266
17,BDT,BDT,3/18/2005 0:53,574055
18,BBD,BBD,2/15/2010 16:33,321649
19,BYB,BYB,2/7/2018 7:10,749491
20,BEF,BEF,8/12/2001 0:25,49787
21,BZD,BZD,2/8/2002 22:23,346902
22,XOF,XOF,8/30/2000 11:53,978287
23,BMD,BMD,7/28/2017 11:58,535201
24,INR,INR,1/29/2016 12:26,838897
25,BOB,BOB,11/7/2015 8:15,878351
26,BAM,BAM,7/12/2006 5:25,214103
27,BWP,BWP,1/20/2014 14:33,837585
28,NOK,NOK,11/19/2011 18:29,311659
29,BRL,BRL,12/2/2000 12:32,721533
30,USD,USD,12/5/2011 5:28,658314
31,BND,BND,10/24/2011 7:53,252726
32,BGL,BGL,10/10/2017 14:42,12128
33,XOF,XOF,9/1/2004 14:00,64024
34,BIF,BIF,8/4/2012 2:20,13332
35,KHR,KHR,12/25/2002 13:23,972957
36,XAF,XAF,1/7/2017 17:18,545749
37,CAD,CAD,11/20/2003 7:11,344492
38,CVE,CVE,12/12/2010 22:58,559926
39,KYD,KYD,12/15/2009 19:20,781074
40,XAF,XAF,1/20/2001 4:35,938630
41,XAF,XAF,10/6/2000 3:18,372905
42,CLP,CLP,9/18/2016 4:25,857166
43,CNY,CNY,7/3/2013 23:32,157560
44,HKD,HKD,12/14/2017 3:15,141739
45,MOP,MOP,12/15/2000 20:40,172173
46,AUD,AUD,3/6/2000 9:20,442273
47,AUD,AUD,2/23/2017 2:48,709433
48,COP,COP,5/4/2008 21:27,709956
49,KMF,KMF,8/18/2019 22:49,385345
50,XAF,XAF,9/12/2006 22:24,607877
51,CDF,CDF,7/17/2008 0:18,355977
52,NZD,NZD,9/2/2009 18:28,331519
53,CRC,CRC,6/6/2013 13:46,741809
54,XOF,XOF,1/6/2018 6:34,121830
55,HRK,HRK,7/11/2002 1:03,289920
56,CUP,CUP,3/12/2013 7:56,187106
57,CYP,CYP,6/30/2016 4:39,227578
58,CZK,CZK,5/8/2003 22:58,213561
59,DKK,DKK,9/4/2003 8:31,42193
60,DJF,DJF,11/20/2007 8:05,450676
61,XCD,XCD,7/14/2013 13:12,209543
62,DOP,DOP,10/5/2003 14:54,689649
63,TPE,TPE,6/25/2016 19:56,194365
64,ECS,ECS,7/24/2007 0:04,529625
65,EGP,EGP,9/7/2012 21:59,34031
66,SVC,SVC,8/9/2019 1:08,385520
67,XAF,XAF,8/29/2001 18:47,434527
68,ERN,ERN,12/21/2017 20:53,470673
69,EEK,EEK,10/27/2011 10:10,114650
70,ETB,ETB,5/21/2015 7:31,310703
71,DKK,DKK,7/5/2016 6:14,506517
72,XEU,XEU,6/1/2009 22:54,879682
73,EUR,EUR,5/31/2010 14:14,522530
74,FKP,FKP,2/17/2016 16:57,756214
75,FJD,FJD,12/1/2018 8:58,990226
76,FIM,FIM,12/19/2003 10:34,857881
77,FRF,FRF,12/15/2008 11:46,577528
78,FRF,FRF,5/25/2002 19:33,338428
79,XPF,XPF,12/29/2012 14:17,984955
80,XPF,XPF,9/11/2013 4:30,734526
81,XAF,XAF,8/6/2013 10:29,458166
82,GMD,GMD,6/18/2010 12:10,494465
83,GEL,GEL,1/27/2004 21:54,971856
84,DEM,DEM,11/26/2005 0:25,139115
85,GHC,GHC,1/20/2013 15:13,997845
86,GIP,GIP,3/8/2004 22:01,364500
87,GRD,GRD,4/26/2019 1:46,518178
88,DKK,DKK,1/26/2011 5:23,951154
89,XCD,XCD,4/14/2009 7:31,707956
90,FRF,FRF,3/13/2009 9:30,614329
91,USD,USD,5/5/2012 11:14,630478
92,GTQ,GTQ,10/5/2018 14:48,446922
93,GNF,GNF,11/9/2019 9:49,832551
94,GWP,GWP,7/19/2017 15:49,607653
95,GYD,GYD,12/25/2012 5:02,850008
96,HTG,HTG,11/28/2014 10:08,630956
97,AUD,AUD,7/7/2017 12:12,653383
98,ITL,ITL,9/5/2011 1:54,592040
99,HNL,HNL,3/11/2009 21:16,918498
100,HUF,HUF,5/14/2000 2:22,521477
101,ISK,ISK,8/31/2003 2:02,334038
102,INR,INR,9/2/2001 3:16,190160
103,IDR,IDR,4/16/2010 22:40,412687
104,XDR,XDR,5/19/2012 16:31,186582
105,IRR,IRR,9/10/2011 12:18,105298
106,IQD,IQD,1/11/2019 14:36,229720
107,IEP,IEP,5/11/2017 9:31,461204
108,ILS,ILS,6/2/2003 14:25,531095
109,ITL,ITL,5/26/2008 11:20,488180
110,JMD,JMD,8/30/2019 17:39,222639
111,JPY,JPY,12/5/2014 15:49,852990
112,JOD,JOD,1/24/2010 20:35,397305
113,KZT,KZT,11/6/2017 9:17,839731
114,KES,KES,6/4/2011 3:38,401574
115,AUD,AUD,9/7/2008 14:22,184934
116,KPW,KPW,11/27/2015 7:15,123480
117,KRW,KRW,1/28/2002 7:18,904104
118,KWD,KWD,5/18/2005 0:53,968057
119,KGS,KGS,11/7/2004 7:18,569305
120,LAK,LAK,5/9/2010 20:11,605545
121,LVL,LVL,11/13/2003 19:33,967388
122,LBP,LBP,12/6/2014 11:51,369435
123,ZAR,ZAR,5/23/2006 11:34,104991
124,LRD,LRD,9/27/2009 8:08,495834
125,LYD,LYD,4/24/2007 4:26,615897
126,CHF,CHF,1/31/2000 13:38,770069
127,LTL,LTL,4/1/2011 7:01,50699
128,LUF,LUF,3/30/2018 14:12,269154
129,MKD,MKD,6/28/2005 12:16,337569
130,MGF,MGF,1/16/2010 18:28,306689
131,MWK,MWK,1/30/2011 7:43,546959
132,MYR,MYR,5/20/2001 0:31,911856
133,MVR,MVR,5/26/2015 4:06,845360
134,XOF,XOF,6/7/2003 10:49,506148
135,MTL,MTL,5/22/2009 14:51,480977
136,USD,USD,7/12/2017 21:33,900471
137,FRF,FRF,1/23/2006 21:11,997720
138,MRO,MRO,10/31/2002 0:50,585197
